roadgroupid, year, kml, distance,  maxlat,  minlat,maxlong, minlong
STJ_C6, 2021, STJ_C6.kml, 1.1919913859661297, -1.8309099674224854, -1.8322499990463257, 52.67549133300781, 52.67018127441406
_2021, 2021, CHD_S2_2021.kml, 1.6250237257664746, -1.8232899904251099, -1.8286999464035034, 52.69075012207031, 52.68762969970703
_2021, 2021, CUR_E2_2021.kml, 1.7790651941934283, -1.8263399600982666, -1.8309999704360962, 52.69906997680664, 52.6967887878418
_2021, 2021, STJ_E9_2021.kml, 0.8614794343324319, -1.8180999755859375, -1.8203200101852417, 52.67900085449219, 52.677490234375
CHD_N4, 2021, CHD_N4.kml, 1.4272246590188606, -1.827430009841919, -1.8393399715423584, 52.694698333740234, 52.691200256347656
_2021, 2021, BLY_E4_2021.kml, 1.578005461324726, -1.801759958267212, -1.8075799942016602, 52.67784118652344, 52.675819396972656
LEO_A1, 2021, LEO_A1.kml, 0.8190371617620916, -1.8468409776687622, -1.8511170148849487, 52.676578521728516, 52.674468994140625
LEO_C1, 2021, LEO_C1.kml, 2.285975621818782, -1.837689995765686, -1.8515100479125977, 52.679988861083984, 52.67647171020508
BLY_E3, 2021, BLY_E3.kml, 2.4834923848097334, -1.8003499507904053, -1.8068000078201294, 52.67940902709961, 52.676979064941406
LEO_C5, 2021, LEO_C5.kml, 1.997407389107111, -1.8382049798965454, -1.8420350551605225, 52.6790885925293, 52.675418853759766
STW_N4, 2021, STW_N4.kml, 2.360778884207463, -1.8141900300979614, -1.8199000358581543, 52.69321060180664, 52.688358306884766
LEO_C4, 2021, LEO_C4.kml, 2.0349497962964866, -1.8410199880599976, -1.844851016998291, 52.67695236206055, 52.67428970336914
STJ_C4, 2021, STJ_C4.kml, 1.2661681812876546, -1.8270299434661865, -1.830180048942566, 52.67438888549805, 52.672340393066406
CUR_S1, 2021, CUR_S1.kml, 1.5040675509367312, -1.823240041732788, -1.8301600217819214, 52.693031311035156, 52.68939971923828
_2021, 2021, STW_S4_2021.kml, 1.1818746003332499, -1.8167860507965088, -1.8211499452590942, 52.683998107910156, 52.68178176879883
STJ_C3, 2021, STJ_C3.kml, 0.8878637645006352, -1.827239990234375, -1.8297699689865112, 52.67631149291992, 52.674781799316406
LEO_W3, 2021, LEO_W3.kml, 0.9311232671867702, -1.831845998764038, -1.8368459939956665, 52.682369232177734, 52.680419921875
BLY_W1, 2021, BLY_W1.kml, 2.9859004334849453, -1.812019944190979, -1.818019986152649, 52.6810302734375, 52.67662811279297
BLY_E1, 2021, BLY_E1.kml, 1.5094340648542055, -1.7983200550079346, -1.8029199838638306, 52.68302917480469, 52.68006134033203
_2020, 2021, STW_S1_2020.kml, 1.2912461381190083, -1.8196699619293213, -1.8250540494918823, 52.68306350708008, 52.68095779418945
CUR_N2, 2021, CUR_N2.kml, 0.9190848260772094, -1.8192800283432007, -1.8221800327301025, 52.69921875, 52.69731140136719
BLY_C2, 2021, BLY_C2.kml, 1.56091297433125, -1.808940052986145, -1.81351900100708, 52.68143081665039, 52.679290771484375
BLY_E2, 2021, BLY_E2.kml, 1.8962629110313953, -1.798840045928955, -1.8047000169754028, 52.68159866333008, 52.67898178100586
CUR_C3, 2021, CUR_C3.kml, 1.0075830394620373, -1.8214999437332153, -1.8251440525054932, 52.69868087768555, 52.6963996887207
RG_LDC, 2021, RG_LDC.kml, 100.45816488867682, -1.5862914323806763, -1.9632319211959839, 52.80779266357422, 52.58489227294922
CUR_S3, 2021, CUR_S3.kml, 1.7979449745163694, -1.818830966949463, -1.8274630308151245, 52.69618606567383, 52.69464874267578
STJ_E4, 2021, STJ_E4.kml, 2.4670550317125755, -1.8075790405273438, -1.82191002368927, 52.67321014404297, 52.67197799682617
_2021, 2021, BLY_E2_2021.kml, 1.479936019706091, -1.7988899946212769, -1.8046799898147583, 52.68156814575195, 52.67897033691406
LEO_C8, 2021, LEO_C8.kml, 1.2695946812260175, -1.8347400426864624, -1.8382600545883179, 52.678260803222656, 52.67539978027344
STW_N1, 2021, STW_N1.kml, 2.6894519684467046, -1.81535005569458, -1.8215299844741821, 52.694820404052734, 52.6899299621582
STJ_W1, 2021, STJ_W1.kml, 2.0261517501582476, -1.8324300050735474, -1.8366199731826782, 52.67407989501953, 52.67000961303711
STJ_E7, 2021, STJ_E7.kml, 2.7860857558450953, -1.807129979133606, -1.8202300071716309, 52.679779052734375, 52.67316818237305
STJ_E5, 2021, STJ_E5.kml, 3.1424906002380086, -1.8125300407409668, -1.8227709531784058, 52.675498962402344, 52.673309326171875
_2021, 2021, STW_N3_2021.kml, 1.3065883072828135, -1.8126933574676514, -1.818847894668579, 52.697052001953125, 52.693363189697266
_2021, 2021, STW_N4_2021.kml, 2.390706756905376, -1.81427001953125, -1.8200099468231201, 52.693241119384766, 52.687931060791016
_2021, 2021, STJ_E7_2021.kml, 0.7309810658267119, -1.807070016860962, -1.8097100257873535, 52.67620086669922, 52.67316818237305
BLY_E1_new, 2021, BLY_E1_new.kml, 0.0, -90.0, 90.0, -90.0, 90.0
RG_STW, 2021, RG_STW.kml, 6.030806199839327, -1.798985242843628, -1.8344038724899292, 52.697364807128906, 52.67945098876953
STJ_E8, 2021, STJ_E8.kml, 2.4736545816074877, -1.8149399757385254, -1.8254330158233643, 52.67218017578125, 52.667701721191406
RG_BLY, 2021, RG_BLY.kml, 4.1912776994203895, -1.7927109003067017, -1.8185577392578125, 52.686763763427734, 52.672889709472656
_2021, 2021, STW_N2_2021.kml, 1.1833141478232827, -1.8139899969100952, -1.8173799514770508, 52.697059631347656, 52.69438934326172
LEO_W1, 2021, LEO_W1.kml, 1.1559917090568135, -1.8272500038146973, -1.8333560228347778, 52.68055725097656, 52.67606735229492
CHD_X1, 2021, CHD_X1.kml, 0.44894865698252917, -1.8433072566986084, -1.85050630569458, 52.697784423828125, 52.6944465637207
STW_N2, 2021, STW_N2.kml, 1.572679858511019, -1.813979983329773, -1.8176089525222778, 52.697059631347656, 52.694400787353516
STW_W1, 2021, STW_W1.kml, 1.6334367672481678, -1.8293100595474243, -1.8343000411987305, 52.687068939208984, 52.68423080444336
LEO_C2, 2021, LEO_C2.kml, 2.936777880917455, -1.8384699821472168, -1.847409963607788, 52.681129455566406, 52.67802047729492
_2021, 2021, STW_S5_2021.kml, 0.7605727390088253, -1.8192499876022339, -1.821181058883667, 52.68400573730469, 52.68238067626953
STJ_E2, 2021, STJ_E2.kml, 2.6513201060819855, -1.8178199529647827, -1.8259049654006958, 52.68186950683594, 52.67707061767578
STJ_E1, 2021, STJ_E1.kml, 0.7675500079504001, -1.8232200145721436, -1.8262499570846558, 52.68001937866211, 52.67449951171875
BLY_E5, 2021, BLY_E5.kml, 0.9764359587036326, -1.8046300411224365, -1.8084800243377686, 52.67723083496094, 52.674251556396484
_2021, 2021, CHD_C1_2021.kml, 1.8597294095324515, -1.8328100442886353, -1.8401199579238892, 52.69504165649414, 52.69287872314453
STJ_E3, 2021, STJ_E3.kml, 2.874522404906829, -1.8158400058746338, -1.8236700296401978, 52.68193054199219, 52.67707061767578
LEO_N5, 2021, LEO_N5.kml, 2.55835685958013, -1.8392599821090698, -1.8451299667358398, 52.693111419677734, 52.68904113769531
_2021, 2021, LEO_C4_2021.kml, 1.6735112372326357, -1.8410300016403198, -1.844851016998291, 52.6768684387207, 52.674560546875
CUR_N3, 2021, CUR_N3.kml, 0.802762987213365, -1.8202409744262695, -1.8230520486831665, 52.70195388793945, 52.70039367675781
RG_CHD, 2021, RG_CHD.kml, 5.376623059205542, -1.8229973316192627, -1.8538122177124023, 52.70183563232422, 52.68559646606445
CHD_C3, 2021, CHD_C3.kml, 1.729536236508894, -1.8306100368499756, -1.8364100456237793, 52.69340896606445, 52.68852996826172
CHD_C1, 2021, CHD_C1.kml, 1.8910694450221586, -1.8327399492263794, -1.8401000499725342, 52.69504165649414, 52.69287109375
STW_E4, 2021, STW_E4.kml, 0.8341754612181244, -1.8069599866867065, -1.8102999925613403, 52.68920135498047, 52.68751907348633
_2021, 2021, CUR_E1_2021.kml, 1.0780900018250539, -1.830680012702942, -1.8341699838638306, 52.698158264160156, 52.695518493652344
_2021, 2021, LEO_N3_2021.kml, 1.2860259601354145, -1.8337500095367432, -1.83856999874115, 52.68777847290039, 52.68465042114258
_2021, 2021, LEO_N4_2021.kml, 1.222622241153713, -1.8331029415130615, -1.8377000093460083, 52.67993927001953, 52.67673873901367
BLY_N2, 2021, BLY_N2.kml, 1.169766674954556, -1.8048800230026245, -1.8074549436569214, 52.684303283691406, 52.68190002441406
_2021, 2021, BLY_C3_2021.kml, 2.8826261582999733, -1.8062800168991089, -1.8123699426651, 52.6797981262207, 52.676239013671875
STJ_C1, 2021, STJ_C1.kml, 1.688017508963689, -1.8250700235366821, -1.8291399478912354, 52.678131103515625, 52.67586898803711
STW_W3, 2021, STW_W3.kml, 0.37329791118017525, -1.8260999917984009, -1.828529953956604, 52.682430267333984, 52.680999755859375
CHD_N1, 2021, CHD_N1.kml, 1.521140755223137, -1.8415100574493408, -1.848080039024353, 52.69416046142578, 52.69184112548828
_2021, 2021, CHD_S1_2021.kml, 1.66113481762334, -1.8266899585723877, -1.8314399719238281, 52.690731048583984, 52.68852615356445
BLY_C1, 2021, BLY_C1.kml, 1.9892910841922657, -1.8061800003051758, -1.8110899925231934, 52.6823616027832, 52.68043899536133
_2021, 2021, CHD_C5_2021.kml, 1.6184621167914761, -1.83024001121521, -1.8390400409698486, 52.6934700012207, 52.68962097167969
STW_W2, 2021, STW_W2.kml, 2.3667122780995165, -1.821560025215149, -1.8309259414672852, 52.685428619384766, 52.68218994140625
STW_C2, 2021, STW_C2.kml, 2.3124082638461543, -1.816606044769287, -1.8219900131225586, 52.68812942504883, 52.68421173095703
CUR_N1, 2021, CUR_N1.kml, 1.5126320228564418, -1.8212699890136719, -1.8258670568466187, 52.700679779052734, 52.69858932495117
_2021, 2021, CUR_C1_2021.kml, 1.474486498047578, -1.8243499994277954, -1.829300045967102, 52.698760986328125, 52.689720153808594
CHD_C5, 2021, CHD_C5.kml, 1.6755281500617962, -1.8314299583435059, -1.839419960975647, 52.694068908691406, 52.69124984741211
STJ_W2, 2021, STJ_W2.kml, 3.073970370475888, -1.8352500200271606, -1.8404330015182495, 52.672889709472656, 52.66989517211914
LEO_X1, 2021, LEO_X1.kml, 0.14656954872546482, -1.8527699708938599, -1.854701042175293, 52.67580032348633, 52.67510986328125
LEO_C3, 2021, LEO_C3.kml, 2.4479146774970624, -1.8424500226974487, -1.8487999439239502, 52.67790985107422, 52.67538833618164
CUR_E1, 2021, CUR_E1.kml, 1.3989841649004464, -1.8306699991226196, -1.8341460227966309, 52.69816970825195, 52.696189880371094
CUR_E2, 2021, CUR_E2.kml, 1.4230930261358743, -1.8263700008392334, -1.8310099840164185, 52.699058532714844, 52.696800231933594
_2021, 2021, STJ_E6_2021.kml, 2.5440441940266414, -1.8085299730300903, -1.8141499757766724, 52.67728042602539, 52.67264938354492
RG_LEO, 2021, RG_LEO.kml, 7.388221028523994, -1.8267091512680054, -1.8652340173721313, 52.6944694519043, 52.668785095214844
LEO_N4, 2021, LEO_N4.kml, 2.1727506629834887, -1.8311070203781128, -1.837820053100586, 52.68107223510742, 52.67629623413086
LEO_C9, 2021, LEO_C9.kml, 1.3556777018366617, -1.837499976158142, -1.841189980506897, 52.67496109008789, 52.672908782958984
LEO_C7, 2021, LEO_C7.kml, 0.7745126729812504, -1.8338199853897095, -1.8372299671173096, 52.67599105834961, 52.674949645996094
_2021, 2021, CUR_C2_2021.kml, 2.0514076133487222, -1.822029948234558, -1.8281400203704834, 52.69831085205078, 52.69562911987305
RG_LCC, 2021, RG_LCC.kml, 13.541344853892875, -1.7927109003067017, -1.8652340173721313, 52.7032585144043, 52.65790557861328
STJ_C2, 2021, STJ_C2.kml, 1.1764241127198478, -1.8245199918746948, -1.8280999660491943, 52.67665100097656, 52.67427062988281
STW_E3, 2021, STW_E3.kml, 1.6831216842465881, -1.8061200380325317, -1.8140699863433838, 52.688880920410156, 52.6861686706543
BLY_E4, 2021, BLY_E4.kml, 1.5995364784050536, -1.8017300367355347, -1.8075799942016602, 52.67784881591797, 52.67586135864258
_2021, 2021, CUR_E4_2021.kml, 1.270695093437253, -1.8272700309753418, -1.8330399990081787, 52.69562911987305, 52.69306945800781
STW_E6, 2021, STW_E6.kml, 1.3723560075659909, -1.8090280294418335, -1.8143999576568604, 52.69209671020508, 52.689910888671875
CHD_S2, 2021, CHD_S2.kml, 2.953572765624817, -1.8240699768066406, -1.833490014076233, 52.69873046875, 52.685970306396484
_2021, 2021, CUR_E3_2021.kml, 1.0008110816068834, -1.8304100036621094, -1.8330689668655396, 52.695987701416016, 52.69409942626953
RG_CUR, 2021, RG_CUR.kml, 4.055543619694577, -1.8142372369766235, -1.8361214399337769, 52.7032585144043, 52.68925857543945
