roadgroupid,year,kml,distance,maxlat,minlat,maxlong,minlong
STJ_C6,2021,STJ_C6.kml,1.3307285930699577,52.67549133300781,52.67018127441406,-1.8309099674224854,-1.8322499990463257
CHD_S2,2021,CHD_S2_2021.kml,1.2944072610623496,52.69075012207031,52.68762969970703,-1.8232899904251099,-1.8286999464035034
CUR_E2,2021,CUR_E2_2021.kml,1.398476413832183,52.69906997680664,52.6967887878418,-1.8263399600982666,-1.8309999704360962
STJ_E9,2021,STJ_E9_2021.kml,0.68773836998429,52.67900085449219,52.677490234375,-1.8180999755859375,-1.8203200101852417
CHD_N4,2021,CHD_N4.kml,1.1393468612479698,52.694698333740234,52.691200256347656,-1.827430009841919,-1.8393399715423584
BLY_E4,2021,BLY_E4_2021.kml,1.331354171922225,52.67784118652344,52.675819396972656,-1.801759958267212,-1.8075799942016602
LEO_A1,2021,LEO_A1.kml,0.6546422721074404,52.676578521728516,52.674468994140625,-1.8468409776687622,-1.8511170148849487
LEO_C1,2021,LEO_C1.kml,1.562169744107973,52.679988861083984,52.67647171020508,-1.837689995765686,-1.8515100479125977
BLY_E3,2021,BLY_E3.kml,1.9703498785508635,52.67940902709961,52.676979064941406,-1.8003499507904053,-1.8068000078201294
LEO_C5,2021,LEO_C5.kml,1.615722817820521,52.6790885925293,52.675418853759766,-1.8382049798965454,-1.8420350551605225
STW_N4,2021,STW_N4.kml,2.1384885738669275,52.69321060180664,52.688358306884766,-1.8141900300979614,-1.8199000358581543
LEO_C4,2021,LEO_C4.kml,1.6973146894719866,52.67695236206055,52.67428970336914,-1.8410199880599976,-1.844851016998291
STJ_C4,2021,STJ_C4.kml,1.1317255559677224,52.67438888549805,52.672340393066406,-1.8270299434661865,-1.830180048942566
CUR_S1,2021,CUR_S1.kml,1.170695700112098,52.693031311035156,52.68939971923828,-1.823240041732788,-1.8301600217819214
STW_S4,2021,STW_S4_2021.kml,0.8265075898707291,52.683998107910156,52.68178176879883,-1.8167860507965088,-1.8211499452590942
STJ_C3,2021,STJ_C3.kml,0.7099078349158048,52.67631149291992,52.674781799316406,-1.827239990234375,-1.8297699689865112
LEO_W3,2021,LEO_W3.kml,0.6630203440568858,52.682369232177734,52.680419921875,-1.831845998764038,-1.8368459939956665
BLY_W1,2021,BLY_W1.kml,2.5414520849724602,52.6810302734375,52.67662811279297,-1.812019944190979,-1.818019986152649
BLY_E1,2021,BLY_E1.kml,1.2136463628778797,52.68302917480469,52.68006134033203,-1.7983200550079346,-1.8029199838638306
STW_S1,2021,STW_S1_2020.kml,0.9521389575202007,52.68306350708008,52.68095779418945,-1.8196699619293213,-1.8250540494918823
CUR_N2,2021,CUR_N2.kml,0.7276530503879309,52.69921875,52.69731140136719,-1.8192800283432007,-1.8221800327301025
BLY_C2,2021,BLY_C2.kml,1.216858767117577,52.68143081665039,52.679290771484375,-1.808940052986145,-1.81351900100708
BLY_E2,2021,BLY_E2.kml,1.4944884057160994,52.68159866333008,52.67898178100586,-1.798840045928955,-1.8047000169754028
CUR_C3,2021,CUR_C3.kml,0.8829742504324167,52.69868087768555,52.6963996887207,-1.8214999437332153,-1.8251440525054932
RG_LDC,2021,RG_LDC.kml,80.87431591088381,52.80779266357422,52.58489227294922,-1.5862914323806763,-1.9632319211959839
CUR_S3,2021,CUR_S3.kml,1.2657945738163505,52.69618606567383,52.69464874267578,-1.818830966949463,-1.8274630308151245
STJ_E4,2021,STJ_E4.kml,1.5687263164082548,52.67321014404297,52.67197799682617,-1.8075790405273438,-1.82191002368927
BLY_E2,2021,BLY_E2_2021.kml,1.1277710024922885,52.68156814575195,52.67897033691406,-1.7988899946212769,-1.8046799898147583
LEO_C8,2021,LEO_C8.kml,1.107879422820464,52.678260803222656,52.67539978027344,-1.8347400426864624,-1.8382600545883179
STW_N1,2021,STW_N1.kml,2.45612466667613,52.694820404052734,52.6899299621582,-1.81535005569458,-1.8215299844741821
STJ_W1,2021,STJ_W1.kml,1.6747937335537526,52.67407989501953,52.67000961303711,-1.8324300050735474,-1.8366199731826782
STJ_E7,2021,STJ_E7.kml,2.31624167342241,52.679779052734375,52.67316818237305,-1.807129979133606,-1.8202300071716309
STJ_E5,2021,STJ_E5.kml,2.538209449846403,52.675498962402344,52.673309326171875,-1.8125300407409668,-1.8227709531784058
STW_N3,2021,STW_N3_2021.kml,1.2239749655727292,52.697052001953125,52.693363189697266,-1.8126933574676514,-1.818847894668579
STW_N4,2021,STW_N4_2021.kml,2.0837821473734093,52.693241119384766,52.687931060791016,-1.81427001953125,-1.8200099468231201
STJ_E7,2021,STJ_E7_2021.kml,0.7079081871829872,52.67620086669922,52.67316818237305,-1.807070016860962,-1.8097100257873535
BLY_E1_new,2021,BLY_E1_new.kml,0.0,-90.0,90.0,-90.0,90.0
RG_STW,2021,RG_STW.kml,4.966342327864453,52.697364807128906,52.67945098876953,-1.798985242843628,-1.8344038724899292
STJ_E8,2021,STJ_E8.kml,2.108644282529137,52.67218017578125,52.667701721191406,-1.8149399757385254,-1.8254330158233643
RG_BLY,2021,RG_BLY.kml,3.4505678374516493,52.686763763427734,52.672889709472656,-1.7927109003067017,-1.8185577392578125
STW_N2,2021,STW_N2_2021.kml,0.8788481819931337,52.697059631347656,52.69438934326172,-1.8139899969100952,-1.8173799514770508
LEO_W1,2021,LEO_W1.kml,1.055589976544527,52.68055725097656,52.67606735229492,-1.8272500038146973,-1.8333560228347778
CHD_X1,2021,CHD_X1.kml,0.36592343395669696,52.697784423828125,52.6944465637207,-1.8433072566986084,-1.85050630569458
STW_N2,2021,STW_N2.kml,1.29217123702113,52.697059631347656,52.694400787353516,-1.813979983329773,-1.8176089525222778
STW_W1,2021,STW_W1.kml,1.2480405382871451,52.687068939208984,52.68423080444336,-1.8293100595474243,-1.8343000411987305
LEO_C2,2021,LEO_C2.kml,2.301752154339364,52.681129455566406,52.67802047729492,-1.8384699821472168,-1.847409963607788
STW_S5,2021,STW_S5_2021.kml,0.5691511432132365,52.68400573730469,52.68238067626953,-1.8192499876022339,-1.821181058883667
STJ_E2,2021,STJ_E2.kml,2.015563661446979,52.68186950683594,52.67707061767578,-1.8178199529647827,-1.8259049654006958
STJ_E1,2021,STJ_E1.kml,0.7126803755242168,52.68001937866211,52.67449951171875,-1.8232200145721436,-1.8262499570846558
BLY_E5,2021,BLY_E5.kml,0.802763546452137,52.67723083496094,52.674251556396484,-1.8046300411224365,-1.8084800243377686
CHD_C1,2021,CHD_C1_2021.kml,1.3566406830628406,52.69504165649414,52.69287872314453,-1.8328100442886353,-1.8401199579238892
STJ_E3,2021,STJ_E3.kml,2.285435932630838,52.68193054199219,52.67707061767578,-1.8158400058746338,-1.8236700296401978
LEO_N5,2021,LEO_N5.kml,2.120767559473274,52.693111419677734,52.68904113769531,-1.8392599821090698,-1.8451299667358398
LEO_C4,2021,LEO_C4_2021.kml,1.4624358806749393,52.6768684387207,52.674560546875,-1.8410300016403198,-1.844851016998291
CUR_N3,2021,CUR_N3.kml,0.7268844364127086,52.70195388793945,52.70039367675781,-1.8202409744262695,-1.8230520486831665
RG_CHD,2021,RG_CHD.kml,4.692305730193064,52.70183563232422,52.68559646606445,-1.8229973316192627,-1.8538122177124023
CHD_C3,2021,CHD_C3.kml,1.3162633837538205,52.69340896606445,52.68852996826172,-1.8306100368499756,-1.8364100456237793
CHD_C1,2021,CHD_C1.kml,1.5019094856049906,52.69504165649414,52.69287109375,-1.8327399492263794,-1.8401000499725342
STW_E4,2021,STW_E4.kml,0.6920107792514663,52.68920135498047,52.68751907348633,-1.8069599866867065,-1.8102999925613403
CUR_E1,2021,CUR_E1_2021.kml,0.998659542310771,52.698158264160156,52.695518493652344,-1.830680012702942,-1.8341699838638306
LEO_N3,2021,LEO_N3_2021.kml,1.1045976081654425,52.68777847290039,52.68465042114258,-1.8337500095367432,-1.83856999874115
LEO_N4,2021,LEO_N4_2021.kml,0.9742990993284978,52.67993927001953,52.67673873901367,-1.8331029415130615,-1.8377000093460083
BLY_N2,2021,BLY_N2.kml,0.9856324983428036,52.684303283691406,52.68190002441406,-1.8048800230026245,-1.8074549436569214
BLY_C3,2021,BLY_C3_2021.kml,2.367175727454693,52.6797981262207,52.676239013671875,-1.8062800168991089,-1.8123699426651
STJ_C1,2021,STJ_C1.kml,1.3094540734999562,52.678131103515625,52.67586898803711,-1.8250700235366821,-1.8291399478912354
STW_W3,2021,STW_W3.kml,0.2950829976098925,52.682430267333984,52.680999755859375,-1.8260999917984009,-1.828529953956604
CHD_N1,2021,CHD_N1.kml,1.2474975938687265,52.69416046142578,52.69184112548828,-1.8415100574493408,-1.848080039024353
CHD_S1,2021,CHD_S1_2021.kml,1.3536146373713178,52.690731048583984,52.68852615356445,-1.8266899585723877,-1.8314399719238281
BLY_C1,2021,BLY_C1.kml,1.6263120505538926,52.6823616027832,52.68043899536133,-1.8061800003051758,-1.8110899925231934
CHD_C5,2021,CHD_C5_2021.kml,1.3313167811309927,52.6934700012207,52.68962097167969,-1.83024001121521,-1.8390400409698486
STW_W2,2021,STW_W2.kml,1.8759771718851395,52.685428619384766,52.68218994140625,-1.821560025215149,-1.8309259414672852
STW_C2,2021,STW_C2.kml,2.0144866426563928,52.68812942504883,52.68421173095703,-1.816606044769287,-1.8219900131225586
CUR_N1,2021,CUR_N1.kml,1.262266191803714,52.700679779052734,52.69858932495117,-1.8212699890136719,-1.8258670568466187
CUR_C1,2021,CUR_C1_2021.kml,1.6664176497149965,52.698760986328125,52.689720153808594,-1.8243499994277954,-1.829300045967102
CHD_C5,2021,CHD_C5.kml,1.226732199655337,52.694068908691406,52.69124984741211,-1.8314299583435059,-1.839419960975647
STJ_W2,2021,STJ_W2.kml,2.448612310257231,52.672889709472656,52.66989517211914,-1.8352500200271606,-1.8404330015182495
LEO_X1,2021,LEO_X1.kml,0.11149689304470513,52.67580032348633,52.67510986328125,-1.8527699708938599,-1.854701042175293
LEO_C3,2021,LEO_C3.kml,1.9634062173528342,52.67790985107422,52.67538833618164,-1.8424500226974487,-1.8487999439239502
CUR_E1,2021,CUR_E1.kml,1.1036443764864616,52.69816970825195,52.696189880371094,-1.8306699991226196,-1.8341460227966309
CUR_E2,2021,CUR_E2.kml,1.1275659112944227,52.699058532714844,52.696800231933594,-1.8263700008392334,-1.8310099840164185
STJ_E6,2021,STJ_E6_2021.kml,2.0964076383879315,52.67728042602539,52.67264938354492,-1.8085299730300903,-1.8141499757766724
RG_LEO,2021,RG_LEO.kml,6.143385057720382,52.6944694519043,52.668785095214844,-1.8267091512680054,-1.8652340173721313
LEO_N4,2021,LEO_N4.kml,1.7881055304591333,52.68107223510742,52.67629623413086,-1.8311070203781128,-1.837820053100586
LEO_C9,2021,LEO_C9.kml,1.1912198310760382,52.67496109008789,52.672908782958984,-1.837499976158142,-1.841189980506897
LEO_C7,2021,LEO_C7.kml,0.5723337260339143,52.67599105834961,52.674949645996094,-1.8338199853897095,-1.8372299671173096
CUR_C2,2021,CUR_C2_2021.kml,1.5403225617029335,52.69831085205078,52.69562911987305,-1.822029948234558,-1.8281400203704834
RG_LCC,2021,RG_LCC.kml,11.487102237393044,52.7032585144043,52.65790557861328,-1.7927109003067017,-1.8652340173721313
STJ_C2,2021,STJ_C2.kml,0.9462401923374124,52.67665100097656,52.67427062988281,-1.8245199918746948,-1.8280999660491943
STW_E3,2021,STW_E3.kml,1.1531448045382469,52.688880920410156,52.6861686706543,-1.8061200380325317,-1.8140699863433838
BLY_E4,2021,BLY_E4.kml,1.2829325520774693,52.67784881591797,52.67586135864258,-1.8017300367355347,-1.8075799942016602
CUR_E4,2021,CUR_E4_2021.kml,1.1253522942777843,52.69562911987305,52.69306945800781,-1.8272700309753418,-1.8330399990081787
STW_E6,2021,STW_E6.kml,1.1373525295776306,52.69209671020508,52.689910888671875,-1.8090280294418335,-1.8143999576568604
CHD_S2,2021,CHD_S2.kml,2.805354915863006,52.69873046875,52.685970306396484,-1.8240699768066406,-1.833490014076233
CUR_E3,2021,CUR_E3_2021.kml,0.8400603620629014,52.695987701416016,52.69409942626953,-1.8304100036621094,-1.8330689668655396
RG_CUR,2021,RG_CUR.kml,3.574349637225674,52.7032585144043,52.68925857543945,-1.8142372369766235,-1.8361214399337769
BLY_E5,2021,BLY_E5_2021_new.kml,0.0,-90.0,90.0,-90.0,90.0
STW_E3,2021,STW_E3_2021.kml,1.2426720239361126,52.68783187866211,52.68526077270508,-1.8054399490356445,-1.8140900135040283
CHD_C3,2021,CHD_C3_2021.kml,1.2684878761622969,52.69268035888672,52.68851852416992,-1.8306299448013306,-1.8364100456237793
BLY_C1,2021,BLY_C1_2021.kml,1.6263120505538926,52.6823616027832,52.68043899536133,-1.8061800003051758,-1.8110899925231934
STW_E1,2021,STW_E1.kml,0.3602526000827375,52.686248779296875,52.6850700378418,-1.8063100576400757,-1.8079440593719482
STW_N3,2021,STW_N3.kml,1.8929387062610004,52.69702911376953,52.69337844848633,-1.8140000104904175,-1.8188899755477905
CHD_C4,2021,CHD_C4.kml,0.708858259345798,52.69232177734375,52.68962097167969,-1.83024001121521,-1.8327300548553467
STW_S4,2021,STW_S4_2020.kml,0.8264390523078858,52.683998107910156,52.68178176879883,-1.8167860507965088,-1.8211499452590942
CUR_C1,2021,CUR_C1.kml,1.8182784838555226,52.69921112060547,52.689369201660156,-1.823140025138855,-1.8293299674987793
CUR_E3,2021,CUR_E3.kml,0.9699527269104974,52.69596862792969,52.69395065307617,-1.830399990081787,-1.8330899477005005
CHD_N3,2021,CHD_N3.kml,2.016510257028251,52.697479248046875,52.69466018676758,-1.8330299854278564,-1.8395899534225464
STJ_C5,2021,STJ_C5.kml,1.694701423968182,52.673980712890625,52.6710319519043,-1.822759985923767,-1.8321199417114258
STW_S3,2021,STW_S3.kml,2.07088154263532,52.686038970947266,52.683528900146484,-1.808150053024292,-1.8172099590301514
STW_S3,2021,STW_S3_2021.kml,2.251681679110809,52.686729431152344,52.68354034423828,-1.806799054145813,-1.8164700269699097
STJ_E6,2021,STJ_E6.kml,1.937784330347443,52.67728042602539,52.67353820800781,-1.8085500001907349,-1.8137099742889404
RG_STJ,2021,RG_STJ.kml,6.796448526418769,52.6822395324707,52.65790557861328,-1.8044084310531616,-1.8537237644195557
LEO_C6,2021,LEO_C6.kml,0.8002633859197084,52.6756706237793,52.67388153076172,-1.8316999673843384,-1.8366459608078003
CUR_S2,2021,CUR_S2_2021.kml,1.8935694209471874,52.698978424072266,52.69232177734375,-1.821131944656372,-1.8290400505065918
STJ_E2,2021,STJ_E2_2021.kml,1.6093764301603042,52.681888580322266,52.67810821533203,-1.81781005859375,-1.8253300189971924
STW_W4,2021,STW_W4_2021.kml,0.83294526445093,52.68349838256836,52.681270599365234,-1.8196699619293213,-1.8249579668045044
