roadgroupid,seatid,districtid,date
BLY_C1,BLY,LDC,2019
BLY_C2,BLY,LDC,2019
BLY_C3,BLY,LDC,2019
BLY_E1,BLY,LDC,2019
BLY_E2,BLY,LDC,2019
BLY_E3,BLY,LDC,2019
BLY_E4,BLY,LDC,2019
BLY_E5,BLY,LDC,2019
BLY_N1,BLY,LDC,2019
BLY_N2,BLY,LDC,2019
BLY_W1,BLY,LDC,2019
CHD_C1,CHD,LDC,2019
CHD_C2,CHD,LDC,2019
CHD_C3,CHD,LDC,2019
CHD_C4,CHD,LDC,2019
CHD_N1,CHD,LDC,2019
CHD_N2,CHD,LDC,2019
CHD_N3,CHD,LDC,2019
CHD_N4,CHD,LDC,2019
CHD_S1,CHD,LDC,2019
CHD_S2,CHD,LDC,2019
CHD_S3,CHD,LDC,2019
CHD_S4,CHD,LDC,2019
CUR_C1,CUR,LDC,2019
CUR_C2,CUR,LDC,2019
CUR_C3,CUR,LDC,2019
CUR_E1,CUR,LDC,2019
CUR_E2,CUR,LDC,2019
CUR_E3,CUR,LDC,2019
CUR_E4,CUR,LDC,2019
CUR_N1,CUR,LDC,2019
CUR_N2,CUR,LDC,2019
CUR_N3,CUR,LDC,2019
CUR_S1,CUR,LDC,2019
CUR_S2,CUR,LDC,2019
CUR_S3,CUR,LDC,2019
LEO_C1,LEO,LDC,2019
LEO_C2,LEO,LDC,2019
LEO_C3,LEO,LDC,2019
LEO_C4,LEO,LDC,2019
LEO_C5,LEO,LDC,2019
LEO_C6,LEO,LDC,2019
LEO_C7,LEO,LDC,2019
LEO_C8,LEO,LDC,2019
LEO_C9,LEO,LDC,2019
LEO_N1,LEO,LDC,2019
LEO_N2,LEO,LDC,2019
LEO_N3,LEO,LDC,2019
LEO_N4,LEO,LDC,2019
LEO_N5,LEO,LDC,2019
LEO_W1,LEO,LDC,2019
LEO_W2,LEO,LDC,2019
LEO_W3,LEO,LDC,2019
STJ_C1,STJ,LDC,2019
STJ_C2,STJ,LDC,2019
STJ_C3,STJ,LDC,2019
STJ_C4,STJ,LDC,2019
STJ_C5,STJ,LDC,2019
STJ_C6,STJ,LDC,2019
STJ_E1,STJ,LDC,2019
STJ_E2,STJ,LDC,2019
STJ_E3,STJ,LDC,2019
STJ_E4,STJ,LDC,2019
STJ_E5,STJ,LDC,2019
STJ_E6,STJ,LDC,2019
STJ_E7,STJ,LDC,2019
STJ_E8,STJ,LDC,2019
STJ_W1,STJ,LDC,2019
STJ_W2,STJ,LDC,2019
STW_C1,STW,LDC,2019
STW_C2,STW,LDC,2019
STW_C3,STW,LDC,2019
STW_E1,STW,LDC,2019
STW_E2,STW,LDC,2019
STW_E3,STW,LDC,2019
STW_E4,STW,LDC,2019
STW_E5,STW,LDC,2019
STW_E6,STW,LDC,2019
STW_N1,STW,LDC,2019
STW_N2,STW,LDC,2019
STW_N3,STW,LDC,2019
STW_N4,STW,LDC,2019
STW_S1,STW,LDC,2019
STW_S2,STW,LDC,2019
STW_S3,STW,LDC,2019
STW_W1,STW,LDC,2019
STW_W2,STW,LDC,2019
STW_W3,STW,LDC,2019
CHD_XW,CHD,LDC,2019
LEO_A1,LEO,LDC,2019
LEO_X1,LEO,LDC,2019
BLY_C1,LRN,SCC,2017
BLY_C2,LRN,SCC,2017
BLY_C3,LRN,SCC,2017
BLY_E1,LRN,SCC,2017
BLY_E2,LRN,SCC,2017
BLY_E3,LRN,SCC,2017
BLY_E4,LRN,SCC,2017
BLY_E5,LRN,SCC,2017
BLY_N1,LRN,SCC,2017
BLY_N2,LRN,SCC,2017
BLY_W1,LCS,SCC,2017
CHD_C1,LCN,SCC,2017
CHD_C2,LCN,SCC,2017
CHD_C3,LCN,SCC,2017
CHD_C4,LCN,SCC,2017
CHD_N1,LCS,SCC,2017
CHD_N2,LCN,SCC,2017
CHD_N3,LCN,SCC,2017
CHD_N4,LCN,SCC,2017
CHD_S1,LCN,SCC,2017
CHD_S2,LCN,SCC,2017
CHD_S3,LCN,SCC,2017
CHD_S4,LCN,SCC,2017
CUR_C1,LCN,SCC,2017
CUR_C2,LCN,SCC,2017
CUR_C3,LCN,SCC,2017
CUR_E1,LCN,SCC,2017
CUR_E2,LCN,SCC,2017
CUR_E3,LCN,SCC,2017
CUR_E4,LCN,SCC,2017
CUR_N1,LCN,SCC,2017
CUR_N2,LCN,SCC,2017
CUR_N3,LCN,SCC,2017
CUR_S1,LCN,SCC,2017
CUR_S2,LCN,SCC,2017
CUR_S3,LCN,SCC,2017
LEO_C1,LCS,SCC,2017
LEO_C2,LCS,SCC,2017
LEO_C3,LCS,SCC,2017
LEO_C4,LCS,SCC,2017
LEO_C5,LCS,SCC,2017
LEO_C6,LCS,SCC,2017
LEO_C7,LCS,SCC,2017
LEO_C8,LCS,SCC,2017
LEO_C9,LCS,SCC,2017
LEO_N1,LCS,SCC,2017
LEO_N2,LCS,SCC,2017
LEO_N3,LCS,SCC,2017
LEO_N4,LCS,SCC,2017
LEO_N5,LCS,SCC,2017
LEO_W1,LCS,SCC,2017
LEO_W2,LCS,SCC,2017
LEO_W3,LCS,SCC,2017
STJ_C1,LCS,SCC,2017
STJ_C2,LCS,SCC,2017
STJ_C3,LCS,SCC,2017
STJ_C4,LCS,SCC,2017
STJ_C5,LCS,SCC,2017
STJ_C6,LCS,SCC,2017
STJ_E1,LCS,SCC,2017
STJ_E2,LCS,SCC,2017
STJ_E3,LCS,SCC,2017
STJ_E4,LCS,SCC,2017
STJ_E5,LCS,SCC,2017
STJ_E6,LCS,SCC,2017
STJ_E7,LCS,SCC,2017
STJ_E8,LCS,SCC,2017
STJ_W1,LCS,SCC,2017
STJ_W2,LCS,SCC,2017
STW_C1,LCN,SCC,2017
STW_C2,LCN,SCC,2017
STW_C3,LRN,SCC,2017
STW_E1,LCN,SCC,2017
STW_E2,LCN,SCC,2017
STW_E3,LCN,SCC,2017
STW_E4,LCN,SCC,2017
STW_E5,LCN,SCC,2017
STW_E6,LCN,SCC,2017
STW_N1,LCN,SCC,2017
STW_N2,LCN,SCC,2017
STW_N3,LCN,SCC,2017
STW_N4,LCN,SCC,2017
STW_S1,LCN,SCC,2017
STW_S2,LRN,SCC,2017
STW_S3,LRN,SCC,2017
STW_W1,LCN,SCC,2017
STW_W2,LCN,SCC,2017
STW_W3,LCN,SCC,2017
CHD_XW,LCN,SCC,2017
LEO_A1,LCS,SCC,2017
LEO_X1,LCS,SCC,2017
